GUID,SCIENTIFIC_NAME,OTHERCATALOGNUMBERS,COORDINATEUNCERTAINTYINMETERS,COUNTRY,STATE_PROV,ELEVATION,SPEC_LOCALITY,VERBATIM_DATE,PARTS,DEC_LAT,DEC_LONG,SEX,ERA
MVZ:Mamm:22738,Tamias speciosus frater,collector number=2122,1611,United States,California,2459.736,"near Porcupine Flat, Yosemite National Park",1-Jul-15,skull; study skin; DNA; skeleton,37.80526,-119.55632,female,H
MVZ:Mamm:22714,Tamias speciosus frater,collector number=3340,484,United States,California,2225.04,"near Mono Meadow, Yosemite National Park",16-Jun-15,skull; study skin; study skin sample,37.66855,-119.58804,female,H
MVZ:Mamm:99848,Tamias speciosus frater,collector number=480,645,United States,California,2621.28,"Tuolumne Meadows, Yosemite National Park",7-Aug-40,whole organism (ethanol),37.87941,-119.39498,male,H
MVZ:Mamm:22746,Tamias speciosus frater,collector number=482,645,United States,California,2621.28,"Tuolumne Meadows, Yosemite National Park",5-Jul-15,skull; study skin; DNA; skeleton,37.87941,-119.39498,female,H
MVZ:Mamm:22770,Tamias speciosus frater,collector number=2251,162,United States,California,2987.04,"head of Lyell Canyon, Yosemite National Park",23-Jul-15,skull; study skin; DNA; skeleton,37.7741135,-119.2597501,male,H
MVZ:Mamm:22774,Tamias speciosus frater,collector number=2280,500,United States,California,2621.28,"Soda Springs, Tuolumne Meadows, Yosemite National Park",29-Jul-15,skull; study skin; DNA; skeleton,37.8785,-119.3665,male,H
MVZ:Mamm:22727,Tamias speciosus frater,collector number=458,1611,United States,California,2459.736,"near Porcupine Flat, Yosemite National Park",27-Jun-15,skull; study skin; skeleton,37.80526,-119.55632,male,H
MVZ:Mamm:22764,Tamias speciosus frater,collector number=519,162,United States,California,3291.84,"head of Lyell Canyon, Yosemite National Park",17-Jul-15,skull; study skin; DNA; skeleton,37.7649446,-119.2506065,female,H
MVZ:Mamm:23383,Tamias speciosus frater,collector number=3441,1600,United States,California,2225.04,"1 mi E Merced Lake, Yosemite National Park",20-Aug-15,skull; DNA; study skin,37.73082,-119.39231,male,H
MVZ:Mamm:207257,Tamias speciosus frater,collector number=1319,251,United States,California,2300,"Yosemite Creek tributary, Yosemite National Park",27-Jun-04,skull; tissue (frozen); study skin; baculum,37.8497,-119.57801,male,M
MVZ:Mamm:201485,Tamias speciosus frater,collector number=20155,230,United States,California,2350.008,"S end Pothole Meadows, Yosemite National Park",9-Jul-03,skull; tissue (frozen); study skin; tissue (95% ethanol),37.69924,-119.58647,female,M
MVZ:Mamm:216330,Tamias speciosus frater,collector number=130,205,United States,California,2863.596,"Dorothy Lake, Yosemite National Park",16-Aug-05,skull; DNA (frozen); tissue (95% ethanol); study skin,38.17061,-119.5946,female,M
MVZ:Mamm:201527,Tamias speciosus frater,collector number=20372,230,United States,California,2412.1872,"Glen Aulin, Yosemite National Park",6-Aug-03,skull; tissue (95% ethanol); baculum; study skin,37.91355,-119.42225,male,M
MVZ:Mamm:207223,Tamias speciosus frater,collector number=1473,201,United States,California,2012.8992,"Tamarack Flat, Yosemite National Park",8-Aug-04,tissue (frozen); whole organism (ethanol),37.75456,-119.74298,female,M
MVZ:Mamm:207224,Tamias speciosus frater,collector number=1474,201,United States,California,2012.8992,"Tamarack Flat, Yosemite National Park",8-Aug-04,skull; tissue (frozen); study skin,37.75456,-119.74298,female,M
MVZ:Mamm:207226,Tamias speciosus frater,collector number=1479,201,United States,California,2012.8992,"Tamarack Flat, Yosemite National Park",8-Aug-04,skull; postcranial skeleton; tissue (frozen),37.75456,-119.74298,female,M
MVZ:Mamm:207237,Tamias speciosus frater,GenBank=EU259279; collector number=21112,251,United States,California,2587.4472,"0.9 mi W Porcupine Flat on Hwy. 120, Yosemite National Park",24-Jun-04,skull; tissue (frozen); baculum; tissue (95% ethanol); DNA (frozen); study skin,37.81435,-119.57728,male,M
